,NUMBER,CONTRACT NAME,NAME,ADDRESS,POSITION,BANKING,BONUS,BIKE STANDS,AVAILABLE BIKE STANDS,STATUS,LAST UPDATE,AVAILABLE BIKES,DATES
87,86,dublin,PARKGATE STREET,Parkgate Street,"{'lat': 53.347972, 'lng': -6.291804}",False,False,38,30,OPEN,1641203651000,8,2022-01-03 09:54:11
88,10,dublin,DAME STREET,Dame Street,"{'lat': 53.344007, 'lng': -6.266802}",True,False,16,8,OPEN,1641203325000,8,2022-01-03 09:48:45
89,100,dublin,HEUSTON BRIDGE (SOUTH),Heuston Bridge (South),"{'lat': 53.347106, 'lng': -6.292041}",False,False,25,16,OPEN,1641203356000,9,2022-01-03 09:49:16
90,24,dublin,CATHAL BRUGHA STREET,Cathal Brugha Street,"{'lat': 53.352149, 'lng': -6.260533}",False,False,20,10,OPEN,1641203691000,10,2022-01-03 09:54:51
91,64,dublin,SANDWITH STREET,Sandwith Street,"{'lat': 53.345203, 'lng': -6.247163}",False,False,40,24,OPEN,1641203753000,16,2022-01-03 09:55:53
92,109,dublin,BUCKINGHAM STREET LOWER,Buckingham Street Lower,"{'lat': 53.353331, 'lng': -6.249319}",False,False,29,18,OPEN,1641203653000,11,2022-01-03 09:54:13
93,85,dublin,ROTHE ABBEY,Rothe Abbey,"{'lat': 53.338776, 'lng': -6.30395}",False,False,35,13,OPEN,1641203569000,22,2022-01-03 09:52:49
94,107,dublin,CHARLEVILLE ROAD,Charleville Road,"{'lat': 53.359157, 'lng': -6.281866}",False,False,40,29,OPEN,1641203758000,11,2022-01-03 09:55:58
95,33,dublin,PRINCES STREET / O'CONNELL STREET,Princes Street / O'Connell Street,"{'lat': 53.349013, 'lng': -6.260311}",True,False,23,14,OPEN,1641203843000,9,2022-01-03 09:57:23
96,44,dublin,UPPER SHERRARD STREET,Upper Sherrard Street,"{'lat': 53.358437, 'lng': -6.260641}",False,False,30,13,OPEN,1641203643000,17,2022-01-03 09:54:03
97,89,dublin,FITZWILLIAM SQUARE EAST,Fitzwilliam Square East,"{'lat': 53.335211, 'lng': -6.2509}",False,False,40,24,OPEN,1641203435000,16,2022-01-03 09:50:35
98,57,dublin,GRATTAN STREET,Grattan Street,"{'lat': 53.339629, 'lng': -6.243778}",False,False,23,15,OPEN,1641203607000,8,2022-01-03 09:53:27
99,80,dublin,ST JAMES HOSPITAL (LUAS),St James Hospital (Luas),"{'lat': 53.341359, 'lng': -6.292951}",False,False,40,23,OPEN,1641203604000,16,2022-01-03 09:53:24
100,41,dublin,HARCOURT TERRACE,Harcourt Terrace,"{'lat': 53.332763, 'lng': -6.257942}",False,False,20,13,OPEN,1641203571000,7,2022-01-03 09:52:51
101,3,dublin,BOLTON STREET,Bolton Street,"{'lat': 53.351182, 'lng': -6.269859}",False,False,20,20,OPEN,1641203323000,0,2022-01-03 09:48:43
102,40,dublin,JERVIS STREET,Jervis Street,"{'lat': 53.3483, 'lng': -6.266651}",False,False,21,16,OPEN,1641203648000,5,2022-01-03 09:54:08
103,29,dublin,ORMOND QUAY UPPER,Ormond Quay Upper,"{'lat': 53.346057, 'lng': -6.268001}",False,False,29,14,OPEN,1641203706000,15,2022-01-03 09:55:06
104,103,dublin,GRANGEGORMAN LOWER (SOUTH),Grangegorman Lower (South),"{'lat': 53.354663, 'lng': -6.278681}",False,False,40,32,OPEN,1641203683000,8,2022-01-03 09:54:43
105,28,dublin,MOUNTJOY SQUARE WEST,Mountjoy Square West,"{'lat': 53.356299, 'lng': -6.258586}",False,False,30,12,OPEN,1641203703000,18,2022-01-03 09:55:03
106,39,dublin,WILTON TERRACE,Wilton Terrace,"{'lat': 53.332383, 'lng': -6.252717}",False,False,20,7,OPEN,1641203449000,13,2022-01-03 09:50:49
107,83,dublin,EMMET ROAD,Emmet Road,"{'lat': 53.340714, 'lng': -6.308191}",False,False,40,18,OPEN,1641203793000,22,2022-01-03 09:56:33
108,92,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),"{'lat': 53.347802, 'lng': -6.292432}",False,False,40,15,OPEN,1641203768000,25,2022-01-03 09:56:08
109,21,dublin,LEINSTER STREET SOUTH,Leinster Street South,"{'lat': 53.34218, 'lng': -6.254485}",False,False,30,28,OPEN,1641203507000,2,2022-01-03 09:51:47
110,88,dublin,BLACKHALL PLACE,Blackhall Place,"{'lat': 53.3488, 'lng': -6.281637}",False,False,30,12,OPEN,1641203500000,18,2022-01-03 09:51:40
